# Volume injected (mL),pressure (bar)
2.095118956749999928e+00,1.752787582000000288e+00
2.095085623416666820e+00,1.744100176000000335e+00
2.095052290083333268e+00,1.744100176000000335e+00
2.095018956749999717e+00,1.748237036000000133e+00
2.094985623416666165e+00,1.748237036000000133e+00
2.094952290083333057e+00,1.752787582000000288e+00
2.094918956749999950e+00,1.748237036000000133e+00
2.094885623416666398e+00,1.748237036000000133e+00
2.094852290083333290e+00,1.744100176000000335e+00
2.094818956750000183e+00,1.750305466000000143e+00
2.094785623416666631e+00,1.744100176000000335e+00
2.094752290083333079e+00,1.752787582000000288e+00
2.094718956749999528e+00,1.748237036000000133e+00
2.094685623416666420e+00,1.750305466000000143e+00
2.094652290083333313e+00,1.750305466000000143e+00
2.094618956749999761e+00,1.750305466000000143e+00
2.094585623416666653e+00,1.742031746000000325e+00
2.094552290083333546e+00,1.750305466000000143e+00
2.094518956749999994e+00,1.750305466000000143e+00
2.094485623416666442e+00,1.744100176000000335e+00
2.094452290083332890e+00,1.748237036000000133e+00
2.094418956749999783e+00,1.752787582000000288e+00
2.094385623416666675e+00,1.752787582000000288e+00
2.094352290083333124e+00,1.750305466000000143e+00
2.094318956750000016e+00,1.750305466000000143e+00
2.094285623416666908e+00,1.752787582000000288e+00
2.094252290083332912e+00,1.744100176000000335e+00
2.094218956749999805e+00,1.750305466000000143e+00
2.094185623416666253e+00,1.752787582000000288e+00
2.094152290083333146e+00,1.750305466000000143e+00
2.094118956750000038e+00,1.742031746000000325e+00
2.094085623416666486e+00,1.752787582000000288e+00
2.094052290083333379e+00,1.744100176000000335e+00
2.094018956750000271e+00,1.750305466000000143e+00
2.093985623416666275e+00,1.744100176000000335e+00
2.093952290083333168e+00,1.744100176000000335e+00
2.093918956749999616e+00,1.744100176000000335e+00
2.093885623416666508e+00,1.742031746000000325e+00
2.093852290083333401e+00,1.746168606000000345e+00
2.093818956749999849e+00,1.752787582000000288e+00
2.093785623416666741e+00,1.750305466000000143e+00
2.093752290083332745e+00,1.744100176000000335e+00
2.093718956749999638e+00,1.744100176000000335e+00
2.093685623416666530e+00,1.750305466000000143e+00
2.093652290083332979e+00,1.744100176000000335e+00
2.093618956749999871e+00,1.744100176000000335e+00
2.093585623416666763e+00,1.744100176000000335e+00
2.093552290083333212e+00,1.752787582000000288e+00
2.093518956750000104e+00,1.744100176000000335e+00
2.093485623416666108e+00,1.748237036000000133e+00
2.093452290083333001e+00,1.746168606000000345e+00
2.093418956749999893e+00,1.744100176000000335e+00
2.093385623416666341e+00,1.742031746000000325e+00
2.093352290083333234e+00,1.752787582000000288e+00
2.093318956750000126e+00,1.744100176000000335e+00
2.093285623416666574e+00,1.744100176000000335e+00
